nro_transaccion,tipo,origen,destino,fecha,hora,monto
1,extraccion,125-95-0734,270-07-8066,05/30/2018,11:51 PM,8418.72
2,deposito,287-84-5589,811-03-1465,03/12/2019,11:37 PM,2807.43
3,transferencia,377-01-6391,348-88-7758,07/28/2017,7:21 PM,1459.37
4,deposito,503-44-1114,573-71-1411,07/16/2018,12:08 AM,2866.63
5,extraccion,370-19-4445,584-37-8147,09/19/2019,9:49 AM,5534.98
6,extraccion,838-39-3090,347-29-7796,07/16/2017,2:50 AM,3576.31
7,deposito,680-80-5751,133-77-8271,11/22/2018,4:48 PM,7560.65
8,transferencia,887-46-6181,209-13-0952,12/20/2018,2:29 PM,6300.25
9,transferencia,226-52-8979,508-93-8698,08/19/2018,2:09 PM,2590.63
10,transferencia,562-76-8128,610-09-7187,08/22/2019,10:45 PM,6232.5
11,deposito,699-64-2583,266-08-2485,12/10/2017,11:09 AM,8922.06
12,deposito,764-72-8794,899-97-5846,09/18/2018,2:03 AM,9440.82
13,deposito,353-65-1509,492-90-6539,02/01/2018,7:17 PM,6773.11
14,extraccion,232-16-9427,874-42-1191,04/24/2018,1:23 PM,6134.43
15,extraccion,437-63-2659,159-11-0221,12/02/2018,5:25 AM,8691.98
16,deposito,339-64-2134,180-02-2638,04/16/2017,2:47 AM,3860.36
17,transferencia,313-49-8359,420-14-1154,05/30/2019,3:12 AM,8313.77
18,deposito,826-47-0926,809-66-7007,01/18/2019,9:00 PM,4290.41
19,extraccion,861-73-2910,872-40-4709,05/27/2017,10:53 AM,8481.4
20,deposito,196-17-2541,229-05-1708,02/22/2017,2:16 AM,2491.3
21,transferencia,442-59-8851,272-79-8703,06/06/2017,11:19 PM,2965.88
22,deposito,290-72-2599,607-93-7379,07/07/2017,12:15 AM,9187.35
23,deposito,867-55-4501,139-22-2836,08/13/2018,2:59 PM,3750.42
24,deposito,410-91-8829,627-19-3747,02/13/2018,5:43 PM,7636.83
25,transferencia,294-57-8566,655-12-8102,05/21/2018,3:30 PM,1086.06
26,deposito,231-83-7252,521-48-3445,05/15/2019,1:36 PM,8712.1
27,deposito,180-33-9266,790-23-6218,09/13/2017,8:22 PM,1503.29
28,deposito,798-20-2493,763-40-3306,08/23/2018,5:59 AM,2781.15
29,deposito,457-26-3616,314-78-2282,01/04/2018,5:54 PM,4921.97
30,transferencia,619-46-3056,716-18-0982,01/01/2019,4:12 PM,3775.54
31,deposito,429-10-4951,687-63-0688,10/19/2018,5:59 AM,9805.02
32,transferencia,222-90-7312,474-32-0952,11/26/2018,10:32 AM,5684.9
33,deposito,672-35-3786,589-82-3759,10/31/2017,5:49 AM,6656.48
34,deposito,812-23-7712,699-17-8111,01/10/2018,5:15 AM,3817.57
35,extraccion,835-54-6952,334-48-1244,05/25/2018,12:45 PM,3421.28
36,transferencia,485-62-3043,607-46-4852,03/24/2017,11:13 AM,5904.43
37,deposito,825-24-4123,154-41-3179,06/18/2017,2:03 AM,4739.5
38,transferencia,249-20-4811,363-72-9646,08/07/2019,10:50 PM,3983.39
39,extraccion,104-61-5672,847-79-1856,03/09/2019,7:50 AM,7309.96
40,extraccion,459-60-0186,490-94-2241,08/19/2018,1:08 AM,9178.69
41,extraccion,321-55-7738,324-13-0661,03/16/2019,4:19 AM,7463.26
42,deposito,741-90-0153,461-05-3925,05/03/2018,6:56 AM,5895.29
43,transferencia,881-82-6030,274-86-6305,06/05/2018,2:57 AM,8565.74
44,transferencia,468-78-3794,193-56-8072,05/11/2017,7:28 PM,4344.11
45,deposito,836-08-3385,780-68-1732,03/09/2019,9:07 PM,6306.96
46,extraccion,572-53-4534,403-99-2009,02/27/2018,6:51 PM,1777.45
47,extraccion,258-93-3929,832-36-7439,04/23/2019,3:02 AM,9782.39
48,deposito,638-12-9001,636-75-9444,01/16/2018,5:40 PM,8853.9
49,deposito,556-71-6823,795-41-3642,12/27/2017,2:42 AM,1180.51
50,transferencia,241-11-5168,490-78-9668,03/04/2018,8:55 AM,6744.35
51,deposito,468-53-4821,153-64-9606,11/07/2017,10:09 AM,4063.6
52,extraccion,252-42-5846,255-77-2774,08/17/2018,10:32 PM,1849.85
53,deposito,202-99-2480,468-84-0071,09/30/2017,12:26 PM,8819.47
54,deposito,378-68-6811,573-81-0732,04/09/2017,5:56 AM,5192.48
55,transferencia,738-49-4683,639-08-2107,12/12/2018,10:08 AM,2195.84
56,transferencia,855-69-6543,524-71-2320,07/22/2017,2:24 PM,5265.9
57,extraccion,700-83-1947,565-65-7788,02/19/2019,9:06 AM,9346.65
58,deposito,634-54-7470,103-46-9224,07/18/2017,11:10 PM,7663.8
59,transferencia,464-21-8677,266-54-5744,12/07/2017,9:45 AM,5780.33
60,extraccion,211-70-7205,176-54-0404,12/21/2018,3:33 AM,4965.24
61,deposito,708-61-2631,581-47-4007,11/24/2018,12:48 AM,7053.16
62,deposito,507-40-2561,531-56-9134,05/10/2017,7:54 AM,8425.11
63,transferencia,847-07-2456,237-23-5234,03/26/2018,4:47 AM,1105.63
64,deposito,815-82-2989,351-67-3813,05/15/2017,11:39 AM,8309.35
65,transferencia,886-76-3020,562-84-1370,03/07/2018,9:02 PM,6451.25
66,extraccion,840-84-1263,315-46-0866,05/11/2018,8:51 AM,6188.14
67,deposito,175-69-5906,145-64-1668,11/18/2018,11:21 PM,2303.75
68,transferencia,359-83-8052,622-22-2792,03/23/2017,3:37 PM,3089.34
69,deposito,469-19-1093,706-45-0975,10/19/2018,3:07 AM,9887.28
70,extraccion,788-42-5623,499-32-3125,01/02/2018,10:29 PM,9763.5
71,deposito,314-03-6321,646-06-3970,12/01/2018,3:22 PM,4899.23
72,deposito,820-90-3933,616-10-1151,02/27/2017,11:49 AM,3763.14
73,transferencia,760-99-0151,499-64-4918,08/29/2019,9:45 PM,4142.18
74,transferencia,800-03-1485,553-20-0479,04/03/2019,8:53 PM,4358.45
75,transferencia,140-90-1947,423-02-5191,05/21/2017,7:34 AM,3402.23
76,deposito,647-18-6475,655-16-5414,05/07/2017,1:57 AM,8299.73
77,transferencia,576-94-0863,833-59-6077,04/03/2017,9:02 PM,4944.15
78,deposito,296-78-8760,454-99-5619,10/11/2017,4:07 AM,3572.75
79,deposito,621-56-1742,481-32-2044,10/14/2017,4:09 PM,9328.72
80,transferencia,633-23-8543,344-97-1584,07/02/2019,7:32 PM,6038.32
81,transferencia,629-16-9114,810-56-8017,11/15/2017,9:18 AM,5693.43
82,extraccion,862-97-9115,500-87-7353,05/04/2019,7:59 PM,7132.23
83,extraccion,825-88-5105,143-78-6275,05/23/2017,8:21 AM,5179.01
84,extraccion,126-88-0812,777-20-9832,08/07/2017,6:52 AM,5131.57
85,extraccion,493-83-4690,536-87-9195,07/12/2017,11:26 PM,7618.02
86,deposito,411-48-1004,478-40-0192,03/31/2017,3:22 AM,8255.48
87,extraccion,269-03-1592,280-73-5487,05/01/2017,11:36 AM,5007.51
88,transferencia,586-03-6111,410-94-0547,10/31/2018,10:18 PM,9918.4
89,deposito,317-65-5747,782-64-8238,02/22/2019,11:35 PM,9354.38
90,transferencia,719-56-7904,515-18-1295,05/16/2017,10:19 PM,1919.43
91,extraccion,680-46-3014,797-95-3373,01/10/2019,4:34 AM,6259.83
92,deposito,478-13-9417,466-38-5379,07/06/2018,10:23 AM,4117.04
93,transferencia,223-82-7568,557-21-3169,07/10/2018,12:45 PM,6101.66
94,extraccion,793-99-3688,779-66-0873,10/01/2017,4:40 AM,8369.55
95,extraccion,857-98-3944,107-67-1811,01/24/2019,7:03 PM,7845.39
96,transferencia,531-88-8055,839-99-2680,05/04/2017,3:00 PM,9647.45
97,transferencia,360-77-9079,354-33-7279,12/04/2017,7:42 PM,3696.65
98,deposito,505-24-4137,756-64-0660,02/08/2017,10:12 PM,5464.91
99,deposito,128-17-6879,574-13-0091,11/01/2018,5:15 AM,3409.4
100,deposito,433-44-6888,699-74-4920,09/02/2019,10:40 PM,5510.08
101,transferencia,276-89-9114,358-02-5810,06/16/2017,12:14 PM,9206.89
102,extraccion,350-47-0389,537-93-9469,12/16/2018,4:24 AM,8323.03
103,deposito,877-40-1845,438-38-0763,07/23/2019,2:17 PM,8046.53
104,transferencia,757-75-1006,844-50-3430,08/22/2018,7:27 PM,8640.36
105,extraccion,659-53-3326,837-50-8657,09/26/2018,11:44 AM,5082.7
106,transferencia,380-61-8463,504-75-1131,01/03/2018,6:13 PM,8680.88
107,transferencia,109-50-9777,564-68-3291,02/23/2018,5:51 AM,4640.19
108,deposito,425-73-2738,742-48-2086,10/30/2017,7:21 PM,5344.29
109,extraccion,168-37-9998,795-38-1702,09/06/2017,4:08 PM,6864.38
110,extraccion,518-02-8655,105-65-0048,06/09/2017,10:55 AM,2558.43
111,deposito,119-36-5839,100-78-0856,10/06/2017,4:25 PM,7279.58
112,extraccion,267-78-7823,432-78-8601,11/14/2017,5:36 AM,4740.24
113,deposito,465-45-5061,198-64-8925,06/30/2017,5:02 AM,1562.17
114,extraccion,679-94-8133,270-83-5914,04/16/2019,4:53 AM,7477.79
115,transferencia,716-92-0925,886-71-7353,11/12/2017,9:23 AM,8522.73
116,extraccion,707-41-6257,885-98-4940,09/01/2018,4:36 PM,6939.24
117,transferencia,483-97-2178,417-92-6647,04/26/2017,11:13 AM,5249.92
118,deposito,728-97-8614,414-36-4365,06/16/2019,11:29 AM,5063.85
119,extraccion,210-55-0480,203-35-6153,07/27/2018,7:40 PM,9825.53
120,extraccion,275-09-8368,767-41-6105,03/31/2017,4:37 AM,8521.8
121,deposito,497-34-2243,456-02-1416,05/11/2018,6:09 AM,9418.19
122,deposito,827-53-9488,209-80-0084,11/13/2018,7:34 AM,7042.65
123,extraccion,537-62-3260,273-92-2744,02/01/2018,4:28 AM,3611.65
124,extraccion,303-39-9571,379-40-9689,11/28/2017,12:23 PM,8692.8
125,transferencia,260-10-3384,153-07-4504,07/18/2017,6:51 AM,3733.93
